R-Strength,H-Strength,VP,Cities,Dev,Round,Winner
7,8,2,0,0,2,0
13,10,2,0,0,2,0
17,8,8,0,3,2,1
5,1,2,0,0,2,0
7,2,2,0,0,2,0
13,8,2,0,0,2,0
17,21,8,0,3,2,1
5,4,2,0,0,2,0
7,2,2,0,0,2,0
13,2,2,0,0,2,0
17,6,8,0,3,2,1
5,1,2,0,0,2,0
7,4,2,0,0,2,0
13,6,2,0,0,2,0
17,4,8,0,3,2,1
5,2,2,0,0,2,0
7,4,2,0,0,2,0
13,18,2,0,0,2,0
24,1,9,0,3,2,1
5,3,2,0,0,2,0
7,4,2,0,0,2,0
13,18,2,0,0,3,0
24,10,9,0,3,3,1
5,3,2,0,0,3,0
7,4,2,0,0,3,0
13,18,2,0,0,3,0
24,15,9,0,3,3,1
5,1,2,0,0,3,0
7,1,2,0,0,3,0
13,6,2,0,0,3,0
24,8,9,0,3,3,1
5,1,2,0,0,3,0
7,1,2,0,0,3,0
13,9,2,0,0,3,0
24,21,9,0,3,3,1
5,0,2,0,0,3,0
7,4,2,0,0,3,0
13,4,2,0,0,3,0
24,6,9,0,3,3,1
5,4,2,0,0,3,0
7,6,2,0,0,3,0
13,4,2,0,0,3,0
24,8,9,0,3,3,1
5,6,2,0,0,3,0
7,12,2,0,0,3,0
9,18,2,0,0,1,0
13,12,3,0,1,1,0
6,4,2,0,0,1,0
14,15,2,0,0,1,1
9,18,2,0,0,1,0
13,18,3,0,1,1,0
6,8,2,0,0,1,0
14,10,2,0,0,1,1
9,24,2,0,0,1,0
13,21,3,0,1,1,0
6,8,2,0,0,1,0
14,18,2,0,0,1,1
9,21,2,0,0,1,0
13,18,3,0,1,1,0
6,3,2,0,0,1,0
14,15,2,0,0,1,1
9,21,2,0,0,1,0
13,10,3,0,1,1,0
6,4,2,0,0,1,0
14,6,3,1,0,1,1
9,12,3,1,0,1,0
13,10,3,0,1,1,0
6,4,2,0,0,1,0
14,15,3,1,0,1,1
9,28,3,1,0,1,0
13,24,3,0,1,1,0
6,6,2,0,0,1,0
14,21,3,1,0,1,1
9,3,4,1,1,1,0
13,16,3,0,1,1,0
6,6,2,0,0,1,0
14,6,3,1,0,1,1
9,16,4,1,1,1,0
13,4,3,0,1,1,0
6,8,2,0,0,1,0
14,12,3,1,0,1,1
9,4,5,2,1,1,0
13,4,3,0,1,1,0
6,3,2,0,0,1,0
14,18,3,1,0,1,1
9,4,5,2,1,1,0
13,9,3,0,1,1,0
6,3,2,0,0,1,0
14,8,4,2,0,1,1
9,15,5,2,2,1,0
13,12,3,0,1,1,0
6,4,2,0,0,1,0
14,15,4,2,0,1,1
9,10,5,2,2,1,0
13,4,3,0,2,1,0
6,12,2,0,0,1,0
14,9,4,2,0,1,1
9,4,5,2,2,1,0
13,20,3,0,2,1,0
6,2,2,0,1,1,0
14,6,6,2,0,2,1
9,3,5,2,2,2,0
13,6,4,0,3,2,0
6,6,2,0,1,2,0
14,12,6,2,0,2,1
9,3,5,2,2,2,0
13,6,4,0,3,2,0
6,6,2,0,1,2,0
20,6,7,2,0,2,1
9,4,5,2,2,2,0
13,24,4,0,3,2,0
6,6,2,0,1,2,0
20,24,7,2,0,2,1
9,6,5,2,2,2,0
13,2,4,0,3,2,0
6,15,2,0,1,2,0
20,10,7,2,0,2,1
9,4,5,2,2,2,0
13,2,4,0,3,2,0
6,4,4,0,2,2,0
20,8,7,2,0,2,1
9,8,5,2,2,2,0
13,12,4,0,3,2,0
6,6,4,0,2,2,0
20,24,7,2,0,2,1
9,8,5,2,2,2,0
13,12,4,0,3,2,0
6,9,4,0,2,2,0
20,6,7,2,0,2,1
9,15,5,2,2,2,0
13,15,4,0,3,2,0
6,4,4,0,2,2,0
20,2,8,3,1,2,1
9,56,5,2,2,2,0
13,12,4,0,3,2,0
6,12,4,0,2,2,0
20,40,8,3,1,2,1
9,36,5,2,2,2,0
13,15,4,0,3,2,0
6,12,4,0,2,2,0
20,33,8,3,1,2,1
9,30,5,2,3,2,0
13,18,4,0,3,2,0
6,15,4,0,2,2,0
20,21,8,3,1,2,1
9,2,5,2,4,2,0
13,4,4,0,3,2,0
6,12,4,0,2,2,0
20,21,8,3,1,2,1
9,33,5,2,4,2,0
13,18,4,0,3,2,0
